swab_id,gd,province,site,type,species,date,country,temp,cluster_size,y,wyear,season,yoa,ysw,Jdate,winter_day
JH15CN0001,0,JILIN,DALAZI CAVE,BAT,RHFE,3/22/15,CHINA,6,1,2015,2015,hiber_late,1000,1015,81,142
JH15CN0002,0,JILIN,DALAZI CAVE,BAT,RHFE,3/22/15,CHINA,6,1,2015,2015,hiber_late,1000,1015,81,142
JH15CN0003,1,JILIN,DALAZI CAVE,BAT,RHFE,3/22/15,CHINA,6.2,1,2015,2015,hiber_late,1000,1015,81,142
JH15CN0004,0,JILIN,DALAZI CAVE,BAT,RHFE,3/22/15,CHINA,6.5,1,2015,2015,hiber_late,1000,1015,81,142
JH15CN0005,0,JILIN,DALAZI CAVE,BAT,RHFE,3/22/15,CHINA,7,1,2015,2015,hiber_late,1000,1015,81,142
JH15CN0006,0,JILIN,DALAZI CAVE,BAT,RHFE,3/22/15,CHINA,7,1,2015,2015,hiber_late,1000,1015,81,142
JH15CN0007,0,JILIN,DALAZI CAVE,BAT,RHFE,3/22/15,CHINA,7.2,4,2015,2015,hiber_late,1000,1015,81,142
JH15CN0009,1,JILIN,DALAZI CAVE,BAT,RHFE,3/22/15,CHINA,7.1,4,2015,2015,hiber_late,1000,1015,81,142
JH15CN0010,0,JILIN,DALAZI CAVE,BAT,RHFE,3/22/15,CHINA,7.1,4,2015,2015,hiber_late,1000,1015,81,142
JH15CN0012,0,JILIN,DALAZI CAVE,BAT,RHFE,3/22/15,CHINA,6.9,1,2015,2015,hiber_late,1000,1015,81,142
JH15CN0013,0,JILIN,DALAZI CAVE,BAT,RHFE,3/22/15,CHINA,7,1,2015,2015,hiber_late,1000,1015,81,142
JH15CN0014,0,JILIN,DALAZI CAVE,BAT,HYAL,3/22/15,CHINA,4.1,2,2015,2015,hiber_late,1000,1015,81,142
JH15CN0015,0,JILIN,DALAZI CAVE,BAT,HYAL,3/22/15,CHINA,4.1,2,2015,2015,hiber_late,1000,1015,81,142
JH15CN0016,0,JILIN,DALAZI CAVE,BAT,HYAL,3/22/15,CHINA,2.9,1,2015,2015,hiber_late,1000,1015,81,142
JH15CN0017,0,JILIN,DALAZI CAVE,BAT,MULE,3/22/15,CHINA,2.8,2,2015,2015,hiber_late,1000,1015,81,142
JH15CN0018,1,JILIN,DALAZI CAVE,BAT,MULE,3/22/15,CHINA,2.8,2,2015,2015,hiber_late,1000,1015,81,142
JH15CN0019,1,JILIN,DI CAVE,BAT,MULE,3/22/15,CHINA,4.9,67,2015,2015,hiber_late,1000,1015,81,142
JH15CN0020,1,JILIN,DI CAVE,BAT,MULE,3/22/15,CHINA,4.9,67,2015,2015,hiber_late,1000,1015,81,142
JH15CN0021,1,JILIN,DI CAVE,BAT,MULE,3/22/15,CHINA,4.9,67,2015,2015,hiber_late,1000,1015,81,142
JH15CN0022,1,JILIN,DI CAVE,BAT,MULE,3/22/15,CHINA,4.9,67,2015,2015,hiber_late,1000,1015,81,142
JH15CN0025,0,JILIN,DI CAVE,BAT,RHFE,3/22/15,CHINA,4.7,1,2015,2015,hiber_late,1000,1015,81,142
JH15CN0026,1,JILIN,DI CAVE,BAT,MULE,3/22/15,CHINA,4.8,7,2015,2015,hiber_late,1000,1015,81,142
JH15CN0027,1,JILIN,DI CAVE,BAT,MULE,3/22/15,CHINA,4.8,7,2015,2015,hiber_late,1000,1015,81,142
JH15CN0028,1,JILIN,DI CAVE,BAT,MULE,3/22/15,CHINA,4.8,7,2015,2015,hiber_late,1000,1015,81,142
JH15CN0029,1,JILIN,DI CAVE,BAT,MULE,3/22/15,CHINA,4.8,7,2015,2015,hiber_late,1000,1015,81,142
JH15CN0030,1,JILIN,DI CAVE,BAT,MULE,3/22/15,CHINA,5.2,87,2015,2015,hiber_late,1000,1015,81,142
JH15CN0031,1,JILIN,DI CAVE,BAT,MULE,3/22/15,CHINA,5.2,87,2015,2015,hiber_late,1000,1015,81,142
JH15CN0032,1,JILIN,DI CAVE,BAT,MULE,3/22/15,CHINA,5.2,87,2015,2015,hiber_late,1000,1015,81,142
JH15CN0033,1,JILIN,DI CAVE,BAT,MULE,3/22/15,CHINA,5.2,87,2015,2015,hiber_late,1000,1015,81,142
JH15CN0034,0,JILIN,JIAN BIANFU CAVE,BAT,MULE,3/22/15,CHINA,5.7,18,2015,2015,hiber_late,1000,1015,81,142
JH15CN0035,0,JILIN,JIAN BIANFU CAVE,BAT,MULE,3/22/15,CHINA,5.7,18,2015,2015,hiber_late,1000,1015,81,142
JH15CN0036,0,JILIN,JIAN BIANFU CAVE,BAT,MULE,3/22/15,CHINA,5.7,18,2015,2015,hiber_late,1000,1015,81,142
JH15CN0037,1,JILIN,JIAN BIANFU CAVE,BAT,MULE,3/22/15,CHINA,5.7,18,2015,2015,hiber_late,1000,1015,81,142
