swab_id,gd,state,site,type,species,date,country,temp,cluster_size,y,wyear,season,yoa,ysw,Jdate,winter_day
8511,0,NY,ALTAMONT,BAT,EPFU,5/17/11,us,NA,NA,2011,2011,mat_earl,NA,NA,137,198
8512,0,NY,ALTAMONT,BAT,EPFU,5/17/11,us,NA,NA,2011,2011,mat_earl,NA,NA,137,198
8513,0,NY,ALTAMONT,BAT,EPFU,5/17/11,us,NA,NA,2011,2011,mat_earl,NA,NA,137,198
8514,0,NY,ALTAMONT,BAT,EPFU,5/17/11,us,NA,NA,2011,2011,mat_earl,NA,NA,137,198
8515,0,NY,ALTAMONT,BAT,EPFU,5/17/11,us,NA,NA,2011,2011,mat_earl,NA,NA,137,198
8516,0,NY,ALTAMONT,BAT,EPFU,5/17/11,us,NA,NA,2011,2011,mat_earl,NA,NA,137,198
8517,0,NY,ALTAMONT,BAT,EPFU,5/17/11,us,NA,NA,2011,2011,mat_earl,NA,NA,137,198
8518,0,NY,ALTAMONT,BAT,EPFU,5/17/11,us,NA,NA,2011,2011,mat_earl,NA,NA,137,198
8519,0,NY,ALTAMONT,BAT,EPFU,5/17/11,us,NA,NA,2011,2011,mat_earl,NA,NA,137,198
8520,0,NY,ALTAMONT,BAT,EPFU,5/17/11,us,NA,NA,2011,2011,mat_earl,NA,NA,137,198
8521,0,NY,ALTAMONT,BAT,EPFU,5/17/11,us,NA,NA,2011,2011,mat_earl,NA,NA,137,198
8522,0,NY,ALTAMONT,BAT,EPFU,5/17/11,us,NA,NA,2011,2011,mat_earl,NA,NA,137,198
8626,0,NY,ALTAMONT,BAT,EPFU,5/17/11,us,NA,NA,2011,2011,mat_earl,NA,NA,137,198
8627,0,NY,ALTAMONT,BAT,EPFU,5/17/11,us,NA,NA,2011,2011,mat_earl,NA,NA,137,198
8628,0,NY,ALTAMONT,BAT,EPFU,5/17/11,us,NA,NA,2011,2011,mat_earl,NA,NA,137,198
8629,0,NY,ALTAMONT,BAT,EPFU,5/17/11,us,NA,NA,2011,2011,mat_earl,NA,NA,137,198
8630,0,NY,ALTAMONT,BAT,EPFU,5/17/11,us,NA,NA,2011,2011,mat_earl,NA,NA,137,198
8631,0,NY,ALTAMONT,BAT,EPFU,5/17/11,us,NA,NA,2011,2011,mat_earl,NA,NA,137,198
8632,0,NY,ALTAMONT,BAT,EPFU,5/17/11,us,NA,NA,2011,2011,mat_earl,NA,NA,137,198
8633,0,NY,ALTAMONT,BAT,EPFU,5/17/11,us,NA,NA,2011,2011,mat_earl,NA,NA,137,198
8634,0,NY,ALTAMONT,BAT,EPFU,5/17/11,us,NA,NA,2011,2011,mat_earl,NA,NA,137,198
8635,1,NY,ALTAMONT,BAT,EPFU,5/17/11,us,NA,NA,2011,2011,mat_earl,NA,NA,137,198
8636,0,NY,ALTAMONT,BAT,EPFU,5/17/11,us,NA,NA,2011,2011,mat_earl,NA,NA,137,198
8637,0,NY,ALTAMONT,BAT,EPFU,5/17/11,us,NA,NA,2011,2011,mat_earl,NA,NA,137,198
8638,0,NY,ALTAMONT,BAT,EPFU,5/17/11,us,NA,NA,2011,2011,mat_earl,NA,NA,137,198
8639,0,NY,ALTAMONT,BAT,EPFU,5/17/11,us,NA,NA,2011,2011,mat_earl,NA,NA,137,198
8640,0,NY,ALTAMONT,BAT,EPFU,5/17/11,us,NA,NA,2011,2011,mat_earl,NA,NA,137,198
8641,0,NY,ALTAMONT,BAT,EPFU,5/17/11,us,NA,NA,2011,2011,mat_earl,NA,NA,137,198
8642,0,NY,ALTAMONT,BAT,EPFU,5/17/11,us,NA,NA,2011,2011,mat_earl,NA,NA,137,198
8643,0,NY,ALTAMONT,BAT,EPFU,5/17/11,us,NA,NA,2011,2011,mat_earl,NA,NA,137,198
8644,0,NY,ALTAMONT,BAT,EPFU,5/17/11,us,NA,NA,2011,2011,mat_earl,NA,NA,137,198
8645,0,NY,ALTAMONT,BAT,EPFU,5/17/11,us,NA,NA,2011,2011,mat_earl,NA,NA,137,198
8646,0,NY,ALTAMONT,BAT,EPFU,5/17/11,us,NA,NA,2011,2011,mat_earl,NA,NA,137,198
8647,0,NY,ALTAMONT,BAT,EPFU,5/17/11,us,NA,NA,2011,2011,mat_earl,NA,NA,137,198
8648,0,NY,ALTAMONT,BAT,EPFU,5/17/11,us,NA,NA,2011,2011,mat_earl,NA,NA,137,198
8649,0,NY,ALTAMONT,BAT,EPFU,5/17/11,us,NA,NA,2011,2011,mat_earl,NA,NA,137,198
8650,0,NY,ALTAMONT,BAT,EPFU,5/17/11,us,NA,NA,2011,2011,mat_earl,NA,NA,137,198
THK 31962,0,NY,ALTAMONT,BAT,EPFU,8/3/11,us,NA,NA,2011,2011,mat_late,NA,NA,215,276
THK 31963,0,NY,ALTAMONT,BAT,EPFU,8/3/11,us,NA,NA,2011,2011,mat_late,NA,NA,215,276
THK 31964,0,NY,ALTAMONT,BAT,EPFU,8/3/11,us,NA,NA,2011,2011,mat_late,NA,NA,215,276
THK 31965,0,NY,ALTAMONT,BAT,EPFU,8/3/11,us,NA,NA,2011,2011,mat_late,NA,NA,215,276
THK 31966,0,NY,ALTAMONT,BAT,EPFU,8/3/11,us,NA,NA,2011,2011,mat_late,NA,NA,215,276
THK 31967,0,NY,ALTAMONT,BAT,EPFU,8/3/11,us,NA,NA,2011,2011,mat_late,NA,NA,215,276
THK 31968,0,NY,ALTAMONT,BAT,EPFU,8/3/11,us,NA,NA,2011,2011,mat_late,NA,NA,215,276
THK 31968,0,NY,ALTAMONT,BAT,EPFU,8/3/11,us,NA,NA,2011,2011,mat_late,NA,NA,215,276
THK 31970,0,NY,ALTAMONT,BAT,EPFU,8/3/11,us,NA,NA,2011,2011,mat_late,NA,NA,215,276
THK 31971,0,NY,ALTAMONT,BAT,EPFU,8/3/11,us,NA,NA,2011,2011,mat_late,NA,NA,215,276
THK 31972,0,NY,ALTAMONT,BAT,EPFU,8/3/11,us,NA,NA,2011,2011,mat_late,NA,NA,215,276
THK 31973,0,NY,ALTAMONT,BAT,EPFU,8/3/11,us,NA,NA,2011,2011,mat_late,NA,NA,215,276
THK 31974,0,NY,ALTAMONT,BAT,EPFU,8/3/11,us,NA,NA,2011,2011,mat_late,NA,NA,215,276
THK 31975,0,NY,ALTAMONT,BAT,EPFU,8/3/11,us,NA,NA,2011,2011,mat_late,NA,NA,215,276
THK 31976,0,NY,ALTAMONT,BAT,EPFU,8/3/11,us,NA,NA,2011,2011,mat_late,NA,NA,215,276
THK 31977,0,NY,ALTAMONT,BAT,EPFU,8/3/11,us,NA,NA,2011,2011,mat_late,NA,NA,215,276
THK 31978,0,NY,ALTAMONT,BAT,EPFU,8/3/11,us,NA,NA,2011,2011,mat_late,NA,NA,215,276
THK 31979,0,NY,ALTAMONT,BAT,EPFU,8/3/11,us,NA,NA,2011,2011,mat_late,NA,NA,215,276
THK 31980,0,NY,ALTAMONT,BAT,EPFU,8/3/11,us,NA,NA,2011,2011,mat_late,NA,NA,215,276
THK 31981,0,NY,ALTAMONT,BAT,EPFU,8/3/11,us,NA,NA,2011,2011,mat_late,NA,NA,215,276
THK 31982,0,NY,ALTAMONT,BAT,EPFU,8/3/11,us,NA,NA,2011,2011,mat_late,NA,NA,215,276
THK 31983,0,NY,ALTAMONT,BAT,EPFU,8/3/11,us,NA,NA,2011,2011,mat_late,NA,NA,215,276
THK 31984,0,NY,ALTAMONT,BAT,EPFU,8/3/11,us,NA,NA,2011,2011,mat_late,NA,NA,215,276
THK 31985,0,NY,ALTAMONT,BAT,EPFU,8/3/11,us,NA,NA,2011,2011,mat_late,NA,NA,215,276
THK 31986,0,NY,ALTAMONT,BAT,EPFU,8/3/11,us,NA,NA,2011,2011,mat_late,NA,NA,215,276
THK 31987,0,NY,ALTAMONT,BAT,EPFU,8/3/11,us,NA,NA,2011,2011,mat_late,NA,NA,215,276
THK 31988,0,NY,ALTAMONT,BAT,EPFU,8/3/11,us,NA,NA,2011,2011,mat_late,NA,NA,215,276
THK 31989,0,NY,ALTAMONT,BAT,EPFU,8/3/11,us,NA,NA,2011,2011,mat_late,NA,NA,215,276
THK 31990,0,NY,ALTAMONT,BAT,EPFU,8/3/11,us,NA,NA,2011,2011,mat_late,NA,NA,215,276
THK 31991,0,NY,ALTAMONT,BAT,EPFU,8/3/11,us,NA,NA,2011,2011,mat_late,NA,NA,215,276
THK 31992,0,NY,ALTAMONT,BAT,EPFU,8/3/11,us,NA,NA,2011,2011,mat_late,NA,NA,215,276
THK 31993,0,NY,ALTAMONT,BAT,EPFU,8/3/11,us,NA,NA,2011,2011,mat_late,NA,NA,215,276
THK 31994,0,NY,ALTAMONT,BAT,EPFU,8/3/11,us,NA,NA,2011,2011,mat_late,NA,NA,215,276
THK 31995,0,NY,ALTAMONT,BAT,EPFU,8/3/11,us,NA,NA,2011,2011,mat_late,NA,NA,215,276
THK 8511,0,NY,ALTAMONT,BAT,EPFU,8/3/11,us,NA,NA,2011,2011,mat_late,NA,NA,215,276
THK 8628,0,NY,ALTAMONT,BAT,EPFU,8/3/11,us,NA,NA,2011,2011,mat_late,NA,NA,215,276
THK 8628,0,NY,ALTAMONT,BAT,EPFU,8/3/11,us,NA,NA,2011,2011,mat_late,NA,NA,215,276
THK 8637,0,NY,ALTAMONT,BAT,EPFU,8/3/11,us,NA,NA,2011,2011,mat_late,NA,NA,215,276
THK 8639,0,NY,ALTAMONT,BAT,EPFU,8/3/11,us,NA,NA,2011,2011,mat_late,NA,NA,215,276
THK 8640,0,NY,ALTAMONT,BAT,EPFU,8/3/11,us,NA,NA,2011,2011,mat_late,NA,NA,215,276
THK 8645,0,NY,ALTAMONT,BAT,EPFU,8/3/11,us,NA,NA,2011,2011,mat_late,NA,NA,215,276
KL12WI0286,0,WI,AUTOGRAPH,BAT,EPFU,12/6/12,us,7,2,2012,2013,hiber_earl,2017,-4,341,36
KL12WI0287,0,WI,AUTOGRAPH,BAT,EPFU,12/6/12,us,6.8,1,2012,2013,hiber_earl,2017,-4,341,36
KL12WI0288,0,WI,AUTOGRAPH,BAT,EPFU,12/6/12,us,6.8,1,2012,2013,hiber_earl,2017,-4,341,36
KL12WI0289,0,WI,AUTOGRAPH,BAT,EPFU,12/6/12,us,6.8,40,2012,2013,hiber_earl,2017,-4,341,36
KL12WI0290,0,WI,AUTOGRAPH,BAT,EPFU,12/6/12,us,6.8,40,2012,2013,hiber_earl,2017,-4,341,36
KL12WI0291,0,WI,AUTOGRAPH,BAT,EPFU,12/6/12,us,6.8,40,2012,2013,hiber_earl,2017,-4,341,36
KL12WI0292,0,WI,AUTOGRAPH,BAT,EPFU,12/6/12,us,6.8,40,2012,2013,hiber_earl,2017,-4,341,36
KL12WI0293,0,WI,AUTOGRAPH,BAT,EPFU,12/6/12,us,6.8,1,2012,2013,hiber_earl,2017,-4,341,36
KL12WI0294,0,WI,AUTOGRAPH,BAT,EPFU,12/6/12,us,6.2,1,2012,2013,hiber_earl,2017,-4,341,36
KL12WI0295,0,WI,AUTOGRAPH,BAT,EPFU,12/6/12,us,6.4,1,2012,2013,hiber_earl,2017,-4,341,36
KL12WI0296,0,WI,AUTOGRAPH,BAT,EPFU,12/6/12,us,6.4,1,2012,2013,hiber_earl,2017,-4,341,36
KL12WI0297,0,WI,AUTOGRAPH,BAT,EPFU,12/6/12,us,6.4,1,2012,2013,hiber_earl,2017,-4,341,36
KL12WI0298,0,WI,AUTOGRAPH,BAT,EPFU,12/6/12,us,6,1,2012,2013,hiber_earl,2017,-4,341,36
KL12WI0299,0,WI,AUTOGRAPH,BAT,EPFU,12/6/12,us,6.6,1,2012,2013,hiber_earl,2017,-4,341,36
KL12WI0300,0,WI,AUTOGRAPH,BAT,EPFU,12/6/12,us,6.6,40,2012,2013,hiber_earl,2017,-4,341,36
KL13WI1571,0,WI,AUTOGRAPH,BAT,EPFU,3/14/13,us,2.4,3,2013,2013,hiber_late,2017,-4,73,134
KL13WI1572,0,WI,AUTOGRAPH,BAT,EPFU,3/14/13,us,2.3,2,2013,2013,hiber_late,2017,-4,73,134
KL13WI1573,0,WI,AUTOGRAPH,BAT,EPFU,3/14/13,us,2.1,4,2013,2013,hiber_late,2017,-4,73,134
KL13WI1574,0,WI,AUTOGRAPH,BAT,EPFU,3/14/13,us,2.3,4,2013,2013,hiber_late,2017,-4,73,134
KL13WI1575,0,WI,AUTOGRAPH,BAT,EPFU,3/14/13,us,2.1,16,2013,2013,hiber_late,2017,-4,73,134
KL13WI1576,0,WI,AUTOGRAPH,BAT,EPFU,3/14/13,us,2.1,16,2013,2013,hiber_late,2017,-4,73,134
KL13WI1577,0,WI,AUTOGRAPH,BAT,EPFU,3/14/13,us,2.1,16,2013,2013,hiber_late,2017,-4,73,134
KL13WI1578,0,WI,AUTOGRAPH,BAT,EPFU,3/14/13,us,2.1,4,2013,2013,hiber_late,2017,-4,73,134
