id,transect,habitat,sex,asso_count,obs_count
15,P5,non_urban,M,0,6
19,P5,non_urban,M,0,2
20,P5,non_urban,F,0,1
23,P5,non_urban,M,3,17
32,P1,urban,M,5,9
49,P2,urban,M,10,17
108,P2,urban,F,1,3
113,P2,urban,M,3,11
118,P2,urban,F,3,8
132,P6,non_urban,M,6,20
134,P6,non_urban,F,2,7
136,P6,non_urban,M,1,3
147,P5,non_urban,F,1,2
151,P5,non_urban,M,1,6
159,P6,non_urban,F,4,8
163,P4,non_urban,M,0,7
164,P5,non_urban,M,0,3
198,P1,urban,M,0,4
203,P6,non_urban,F,0,2
205,P6,non_urban,M,0,7
239,P2,urban,Sub,5,7
247,P2,urban,F,1,1
248,P2,urban,M,2,6
249,P2,urban,Sub,11,15
250,P2,urban,M,2,3
251,P2,urban,M,3,4
256,P2,urban,M,9,13
265,P3,urban,M,0,1
271,P2,urban,M,9,16
275,P2,urban,F,1,1
279,P2,urban,Sub,3,5
285,P6,non_urban,M,0,2
301,P4,non_urban,M,0,7
302,P4,non_urban,M,1,8
304,P4,non_urban,M,2,10
306,P4,non_urban,F,0,6
311,P5,non_urban,F,0,2
313,P4,non_urban,M,0,1
314,P5,non_urban,M,1,1
316,P3,urban,M,3,6
319,P3,urban,M,2,8
320,P3,urban,Sub,1,4
323,P3,urban,F,2,6
324,P3,urban,M,2,3
330,P4,non_urban,M,1,3
331,P6,non_urban,M,0,5
336,P3,urban,M,1,3
339,P1,urban,Sub,0,6
342,P3,urban,Sub,2,2
343,P1,urban,F,4,6
344,P1,urban,F,1,3
345,P3,urban,F,6,10
346,P3,urban,M,0,1
347,P3,urban,M,10,11
349,P1,urban,M,3,8
350,P5,non_urban,M,0,3
353,P2,urban,F,6,8
354,P2,urban,F,3,5
355,P2,urban,F,5,7
358,P2,urban,M,6,9
359,P2,urban,M,1,3
360,P3,urban,M,1,2
362,P1,urban,F,0,3
366,P2,urban,Sub,4,6
367,P2,urban,F,3,4
368,P1,urban,F,2,3
374,P2,urban,M,3,8
376,P2,urban,F,0,1
377,P2,urban,M,0,1
379,P2,urban,M,10,12
380,P4,non_urban,F,0,4
386,P3,urban,M,2,6
387,P2,urban,F,9,9
388,P3,urban,F,3,9
389,P3,urban,F,2,2
390,P4,non_urban,F,0,3
392,P4,non_urban,M,2,3
393,P6,non_urban,M,2,9
400,P2,urban,M,0,2
401,P2,urban,F,4,4
402,P2,urban,F,3,4
403,P2,urban,F,2,2
404,P2,urban,M,2,3
405,P4,non_urban,M,0,2
407,P6,non_urban,M,0,4
408,P4,non_urban,F,0,2
410,P1,urban,M,0,2
412,P2,urban,M,3,6
418,P2,urban,F,4,6
420,P1,urban,M,1,2
423,P2,urban,M,2,2
429,P2,urban,F,1,2
433,P3,urban,F,4,4
500,P1,urban,M,9,19
