ID,Original Image,Repeat on Original Image
6,51.775,45.27
4,47.823,43.544
5,47.291,42.963
8,44.806,38.817
10,49.172,46.173
9,59.495,56.452
7,66.961,62.616
2,44.202,40.411
3,62.014,64.894
815655,43.561,37.414
815656,66.136,61.436
815657,59.363,50.732
815658,47.894,47.582
815643,57.559,53.639
815644,72.634,55.264
815646,31.819,33.839
815650,50.336,46.064
815652,51.801,49.659
97279,48.735,42.102
97280,57.125,42.58
97283,66.129,62.994
97278,44.226,46.532
97277,60.833,60.208
97276,29.074,26.278
13,59.109,45.326
14,44.433,44.473
15,32.739,30.924
16,43.005,44.095
17,46.135,43.023
18,41.056,37.309
19,57.07,43.452
21,49.203,45.273
22,51.416,47.251
23,59.453,44.588
24,82.047,66.484
27,73.969,64.64
28,45.375,42.238
29,52.465,48.912
31,49.774,40.682
32,53.762,52.311
33,59.496,58.305
34,57.772,53.096
36,58.813,52.457
35,51.103,46.067
38,56.4,39.43
37,75.519,61.553
40,54.299,48.121
39,59.492,49.563
41,49.567,49.68
