ID,Original Image,Repeat on New Image,Repeat on Original Image
0006,51.775,49.841,45.27
0004,47.823,43.937,43.544
0005,47.291,37.805,42.963
0008,44.806,35.652,38.817
0011,74.902,39.726,
0010,49.172,44.093,46.173
0009,59.495,54.613,56.452
0007,66.961,55.294,62.616
0002,44.202,38.715,40.411
0003,62.014,60.049,64.894
815655,43.561,39.578,37.414
815656,66.136,51.444,61.436
815657,59.363,48.106,50.732
815658,47.894,43.11,47.582
815643,57.559,50.554,53.639
815644,72.634,43.736,55.264
815646,31.819,25.304,33.839
815650,50.336,45.172,46.064
815652,51.801,49.806,49.659
97279,48.735,44.154,42.102
97280,57.125,42.42,42.58
97283,66.129,55.431,62.994
97278,44.226,44.849,46.532
97277,60.833,59.447,60.208
97276,29.074,29.782,26.278
0013,59.109,49.567,45.326
0014,44.433,43.487,44.473
0015,32.739,31.343,30.924
0016,43.005,45.164,44.095
0017,46.135,40.388,43.023
0018,41.056,38.177,37.309
0019,57.07,41.178,43.452
0021,49.203,46.419,45.273
0022,51.416,51.206,47.251
0023,59.453,38.472,44.588
0024,82.047,59.833,66.484
0025,62.559,37.181,
0027,73.969,72.375,64.64
0028,45.375,38.735,42.238
0029,52.465,50.694,48.912
0031,49.774,46.445,40.682
0032,53.762,49.332,52.311
0033,59.496,61.807,58.305
0034,57.772,53.767,53.096
0036,58.813,54.585,52.457
0035,51.103,48.404,46.067
0038,56.4,48.834,39.43
0037,75.519,65.286,61.553
0040,54.299,50.819,48.121
0039,59.492,56.534,49.563
41,49.567,,49.68
,,,
