Year,BorA,Area
1982,B,44.202
1982,B,62.014
1983,B,47.823
1983,B,47.291
1983,B,51.775
1983,B,66.961
1983,B,44.806
1983,B,59.495
1983,B,49.172
1983,B,74.902
1984,B,57.559
1984,B,72.634
1984,B,31.819
1984,B,50.336
1984,B,51.801
1984,B,43.561
1984,B,66.136
1984,B,59.363
1984,B,47.894
1985,B,29.074
1985,B,60.833
1985,B,44.226
1985,B,48.735
1985,B,57.125
1986,B,59.109
1986,B,44.433
1986,B,32.739
1986,B,43.005
1986,B,46.135
1986,B,41.056
1986,B,57.07
1986,B,49.203
1986,B,51.416
1986,B,59.453
1986,B,82.047
1986,B,62.559
1987,B,73.969
1987,B,45.375
1987,B,52.465
1987,B,49.774
1987,B,53.762
1987,B,59.496
1987,B,57.772
1988,B,51.103
1988,B,58.813
1988,B,75.519
1988,B,56.4
1988,B,59.492
1988,B,54.299
1988,B,58.802
1988,B,53.3
1988,B,51.818
1988,B,54.267
1988,B,72.369
1988,B,49.951
1988,B,64.873
1989,B,55.806
1989,B,41.956
1989,B,54.069
1989,B,50.665
1989,B,77.409
1989,B,49.034
1989,B,56.073
1989,B,60.878
1989,B,64.058
1989,B,61.033
1989,B,66.101
1989,B,46.819
1990,B,50.727
1990,B,63.762
1990,B,55.127
1990,B,42.502
1990,B,72.793
1990,B,50.7
1990,B,41.078
1990,B,54.379
1990,B,52.983
1992,B,62.754
1992,B,46.046
1992,B,52.858
1992,B,42.143
1993,B,54.034
1993,B,53.641
1993,B,40.893
1993,B,61.761
1994,B,53.796
1994,B,50.369
1994,B,58.862
1994,B,49.146
1994,B,48.135
1995,B,50.955
1995,B,62.729
1995,B,49.309
1995,B,44.29
1997,A,49.421
1997,A,38.308
1997,A,43.243
1997,A,34.151
1998,A,38.041
1998,A,60.57
1998,A,35.924
1998,A,38.825
1998,A,47.47
1998,A,60.524
1998,A,36.664
1999,A,56.579
1999,A,55.029
1999,A,53.668
2000,A,42.846
2000,A,45.076
2000,A,41.855
2000,A,45.542
2000,A,51.799
2000,A,35.921
2000,A,34.981
2001,A,46.305
2001,A,43.201
2001,A,52.566
2001,A,49.09
2001,A,34.667
2001,A,40.952
2002,A,44.312
2002,A,57.482
2002,A,43.103
2002,A,45.852
2002,A,50.261
2002,A,42.676
2003,A,31.568
2003,A,42.244
2003,A,39.065
2003,A,41.654
2003,A,41.301
2003,A,49.786
2004,A,42.079
2004,A,36.655
2004,A,44.124
2004,A,56.894
2004,A,44.046
2004,A,55.393
2005,A,39.446
2005,A,38.665
2005,A,55.44
2005,A,62.351
2005,A,41.483
2006,A,45.423
2006,A,35.47
2006,A,51.842
2006,A,49.777
2007,A,50.567
2007,A,32.559
2007,A,30.85
2007,A,41.976
2007,A,40.305
2008,A,64.013
2008,A,45.944
2008,A,42.641
2008,A,36.622
2008,A,64.977
2009,A,52.203
2009,A,47.232
2009,A,56.579
2009,A,49.407
2009,A,35.989
2010,A,51.738
2010,A,44.772
2010,A,37.632
2010,A,37.973
