RowNumber,ID,SeqNum,RepFore,OrigFore
1,2,1,28.28178461,22.58190007
2,2,2,28.51058449,25.35667444
3,2,3,24.79022915,25.1071146
4,2,4,25.83849498,21.65937642
5,2,5,27.13214505,22.94822808
6,3,1,33.23139225,31.38460056
7,3,2,36.63224124,32.89584355
8,3,3,41.06007268,37.94646031
9,3,4,34.16271077,30.29747133
10,3,5,35.83029092,36.37815075
11,4,1,30.02220653,23.08379432
12,4,2,27.23156148,21.3819473
13,4,3,32.0669206,28.57137303
14,4,4,30.61766604,27.73904837
15,4,5,30.88902835,25.04241836
16,5,1,28.94798107,21.58002268
17,5,2,26.82392092,20.08395685
18,5,3,22.23736826,22.97996254
19,5,4,23.2476956,22.29865147
20,5,5,27.14938742,28.27782128
21,6,1,29.81753303,20.55310041
22,6,2,27.08536667,17.13847911
23,6,3,29.93212212,20.790266
24,6,4,25.72226805,20.59285346
25,6,5,25.26617367,20.53421901
26,7,1,21.13064511,16.40849511
27,7,2,20.56098784,13.30978825
28,7,3,21.52244597,17.08593971
29,7,4,16.71541227,10.98937015
30,7,5,15.38293437,24.97242467
31,8,1,12.41539398,10.02148341
32,8,2,17.2582461,17.86812957
33,8,3,13.26805732,14.24864712
34,8,4,11.66950836,11.17717539
35,8,5,12.0207712,16.43576577
36,9,1,42.30479828,33.42807601
37,9,2,43.6382355,33.36818533
38,9,3,34.1098594,34.16432202
39,9,4,29.61997537,33.31699103
40,9,5,38.64976805,31.43646049
41,10,1,21.23281076,17.74636959
42,10,2,17.44063475,32.38208606
43,10,3,34.67260356,18.72817594
44,10,4,24.98409828,20.23291526
45,10,5,19.83909843,20.91198569
46,11,1,12.78818076,13.56915286
47,11,2,12.04802231,12.85328125
48,11,3,9.89529199,11.01619212
49,11,4,9.785725078,12.74591622
50,11,5,13.2429061,10.95943535
51,13,1,17.26555146,17.90380753
52,13,2,19.22952676,18.60013958
53,13,3,23.53998235,23.54818178
54,13,4,20.09658306,22.9221961
55,13,5,21.65003834,19.97853856
56,14,1,24.74287608,25.29282078
57,14,2,13.52036711,10.06894228
58,14,3,23.23066155,27.64664165
59,14,4,26.40900917,23.81617543
60,14,5,25.29838082,16.82563461
61,15,1,19.84297074,12.31716063
62,15,2,14.5122363,11.97607146
63,15,3,22.25981797,10.36699813
64,15,4,22.14656087,10.16399449
65,15,5,20.81504954,10.40307146
66,16,1,21.7832409,23.5190448
67,16,2,28.85263962,27.83074116
68,16,3,24.97718424,23.57424981
69,16,4,13.31915102,13.84079511
70,16,5,24.75511835,15.51653032
71,17,1,15.13254537,18.68033493
72,17,2,31.1810336,20.24351935
73,17,3,21.3722441,29.89461717
74,17,4,17.72979139,9.617765783
75,17,5,26.43955157,16.62023039
76,18,1,33.90748279,35.02682532
77,18,2,27.54191439,27.93995573
78,18,3,32.3003867,22.26919079
79,18,4,31.67395696,28.04497334
80,18,5,30.02737561,35.37067713
81,19,1,36.32702955,38.02781645
82,19,2,15.73026615,33.34878974
83,19,3,39.64461905,25.28951602
84,19,4,41.88123106,33.66727714
85,19,5,28.65939239,33.68420454
86,21,1,34.36525396,35.27874201
87,21,2,26.28212565,33.83130714
88,21,3,36.87151003,35.62793086
89,21,4,35.46098945,35.939301
90,21,5,29.95597789,28.24832169
91,22,1,37.78307709,32.48024601
92,22,2,48.87938777,38.11946281
93,22,3,36.29169777,28.56383376
94,22,4,42.67635106,27.38240357
95,22,5,47.50998185,34.68957811
96,23,1,18.40961587,13.46978401
97,23,2,17.94114358,5.770857428
98,23,3,9.029557146,10.06802914
99,23,4,18.51473846,15.85654537
100,23,5,18.13432408,12.24003562
101,24,1,23.5993568,13.77129424
102,24,2,22.23984851,29.57114692
103,24,3,33.21896405,21.57643267
104,24,4,30.62663527,19.0357584
105,24,5,19.6517978,15.30253516
106,25,1,15.74844985,12.86033004
107,25,2,16.34511259,9.517777207
108,25,3,16.21523817,20.40426721
109,25,4,17.20913731,14.89023368
110,25,5,15.87645493,12.45301003
111,27,1,40.88705675,41.50170482
112,27,2,34.43554382,38.67077926
113,27,3,40.28703218,42.8680812
114,27,4,41.68857283,39.30819692
115,27,5,33.62861948,40.3708912
116,28,1,9.893208705,13.09125998
117,28,2,14.28912519,15.76745307
118,28,3,20.0597201,15.00850761
119,28,4,17.8421917,10.49828143
120,28,5,14.08421414,10.71956702
121,29,1,21.53987028,14.28311425
122,29,2,33.52809258,20.15199978
123,29,3,36.79841776,25.62879096
124,29,4,35.74290762,32.34134596
125,29,5,27.67049063,20.09516189
126,31,1,15.83498101,14.82670235
127,31,2,20.29662462,16.53408482
128,31,3,16.70476584,18.06785323
129,31,4,18.3494669,17.58548448
130,31,5,19.65026527,14.98632077
131,32,1,20.89480688,14.9996515
132,32,2,18.46296608,11.04403202
133,32,3,17.44438558,10.61213818
134,32,4,20.08410763,13.51617332
135,32,5,20.80278894,14.27116078
136,33,1,16.30035503,5.807614644
137,33,2,13.23078847,13.57910536
138,33,3,9.596796495,9.47849581
139,33,4,18.53299507,8.282988105
140,33,5,20.60320677,8.755664647
141,34,1,36.05113219,27.23350719
142,34,2,36.46062374,35.11889716
143,34,3,36.85895092,46.39451983
144,34,4,32.17379896,30.80149284
145,34,5,39.58246409,29.88055841
146,35,1,24.87377312,21.0697606
147,35,2,33.43512616,27.63676098
148,35,3,31.7548397,28.19179682
149,35,4,17.45222876,24.71193982
150,35,5,27.12847501,17.68469414
151,36,1,16.71176422,15.7198158
152,36,2,21.51712838,22.85365659
153,36,3,30.80845026,28.21570975
154,36,4,21.21166499,23.15178881
155,36,5,21.11466932,22.35151908
