year,annual_density
1987,7.289719626168225
1988,9.7196261682243
1989,10.934579439252337
1990,9.345794392523365
1991,10.280373831775702
1992,8.971962616822431
1993,8.598130841121495
1994,8.41121495327103
1995,9.158878504672899
1996,6.822429906542056
1997,7.570093457943925
1998,7.663551401869159
1999,10.373831775700936
2000,7.476635514018692
2001,8.971962616822431
2002,10.280373831775702
2003,5.233644859813085
2004,6.3551401869158886
2008,7.570093457943925
2009,6.4485981308411215
2010,5.981308411214954
2011,6.074766355140187
2012,10.093457943925234
2013,9.626168224299066
2014,5.794392523364486
2015,5.233644859813085
2016,4.766355140186916
2017,6.074766355140187
2018,6.728971962616823
2019,5.794392523364486
2021,7.196261682242991
2022,6.074766355140187
2023,8.598130841121495
2024,5.981308411214954
