nest_key,year,eggs_laid,female_id,male_id,found_date,hatch_date,eggs_hatched,fledglings,fledge_date,clutch_number,fail_date,found_day,hatch_day,first_egg_day,female_status,female_age,female_age_code,male_age,male_age_code,popn_size,annual_density,band_id,sex,weight,age_in_days,recruited,fledge_date_noNA,recruited.f,clutch_num,fledge_day
92-M30C,1992,4,2031.56845,2031.57405,1992-06-30,1992-07-08,4,4,1992-07-17,R1,NA,182,190,173,PG 1,1,SY,1,SY,96,8.971962616822431,2031.57953,U,4.4,7,FALSE,1992-07-17,0,1,199
89-M25E,1989,5,2011.81916,2021.76122,1989-07-01,1989-07-02,5,4,1989-07-11,2,NA,182,183,165,MO,1,SY,1,SY,117,10.934579439252337,2021.76387,U,4.8,7,FALSE,1989-07-11,0,2,192
92-M29C,1992,4,2021.76557,2031.56968,1992-07-06,1992-07-12,4,4,1992-07-21,2,NA,188,194,177,MO,3,ASY,1,SY,96,8.971962616822431,2031.58206,U,4.9,7,FALSE,1992-07-21,0,2,203
114-O25F,2014,4,2511.98680,2511.98821,2014-07-13,2014-07-23,4,4,2014-08-01,2,NA,194,204,187,MO,2,ASY,2,ASY,62,5.794392523364486,2521.77496,U,5.1,7,FALSE,2014-08-01,0,2,213
94-M20D,1994,4,2111.33343,2031.58284,1994-07-08,1994-07-19,4,4,1994-07-28,RR1,NA,189,200,183,PG 2,2,ASY,1,SY,90,8.41121495327103,2121.64216,U,5.5,7,FALSE,1994-07-28,0,1,209
96-N28C,1996,5,2031.57480,2031.56815,1996-06-20,1996-06-30,5,5,NA,RER1,NA,172,182,164,MO,4,ASY,2,ASY,73,6.822429906542056,2121.64825,U,5.6,7,FALSE,1996-07-09,0,1,191
116-M30B,2016,4,2621.66821,2311.96313,2016-06-30,2016-07-10,4,4,2016-07-19,R1,NA,182,192,175,MO,1,SY,1,SY,51,4.766355140186916,2621.66951,U,5.6,7,FALSE,2016-07-19,0,1,201
87-M19B,1987,5,940.25832,940.25697,1987-05-27,1987-06-06,5,5,1987-06-15,1,NA,147,157,139,MO,1,SY,1,SY,78,7.289719626168225,940.25898,U,5.7,7,FALSE,1987-06-15,0,1,166
95-P24C,1995,5,2111.33451,2111.33158,1995-06-27,1995-07-06,5,5,NA,R1,NA,178,187,169,MO,2,ASY,3,ASY,98,9.158878504672899,2121.64346,U,5.8,7,FALSE,1995-07-15,0,1,196
91-P25B,1991,5,2011.81954,2011.81137,1991-07-01,1991-07-03,5,4,1991-07-12,2,NA,182,184,166,MO,2,ASY,2,ASY,110,10.280373831775702,2031.57094,U,5.9,7,FALSE,1991-07-12,0,2,193
