"site","latitude","longitude"
"Jianzhuwu Cave",46.59,125.01
"Gezi Cave",43.47,125.96
"New cave",43.17477,125.51178
"Temple cave",41.38,124.96
"Liaoning Bianfu Cave",41.38,124.96
"Dalazi Cave",41.3558,125.5098
"Di Cave",41.3558,125.5098
"Wu Dai Cave",41.3558,125.5098
"jian bianfu Cave",41.3558,125.5098
"Guaishi Cave",41.200613,123.452118
"Beijing Bianfu Cave",39.42808,115.43551
"Sakishore",42.44284722,43.15805278
"Melouri Cave",42.38735,42.62783333
"Sachinkie",42.25283333,43.30669444
"Satsurblia ",42.17956,43.40859
"Esztramos mines",48.518903,20.748009
"Vass Imre cave",48.497954,20.537106
"BE'KE CAVE",48.460816,20.542759
"Szoplaki Ördöglyuk cave",47.70817,18.87471
"Macska cave",47.64395,18.94487
"Kislo�d, bauxite mine",47.12297,17.63152
"Manfai cave",46.14894,18.21035
"XUANYUN CAVE",36.7,117.4
"alma",33.05,35.5
"BERENIKI",32.84,35.34
"SHTULA",32.82,35.32
"SARACH",32.81,35.31
"YANA",32.8,35.3
"TEFEN",32.8,35.3
"Site 1",31.768225,35.096385
"Momonoki cave",39.97535,141.78048
"Kuroishino drainage",39.73968,141.13801
"Manju-koh abandoned mine",39.60174,141.25076
"Funakubo limestone cave",39.56561,141.24971
"Kazaana ruins",39.45086,141.35736
"Hinoki-sawa quarry",34.6889,138.91184
"Isshiki tunnel",34.64886,138.8173
"Kutsu",33.40450031,133.3432387
"Nakatosa",33.31558951,133.2234757
"Kubokawa",33.21337202,133.1295598
"Nishitosa JA",33.18037198,132.7844186
"Nishitosa mochi",33.17274533,132.793091
"huit",51.362687,99.290333
"dayandeerkh",50.495503,102.135132
"new site",49.133947,110.887244
"tsagaandel",45.633347,108.738256
"shar khanan",45.562977,108.386664
"lovonchombo",42.517233,107.821216
"gurvan zeerd",42.479747,107.182326
"Ingarsby Railway Tunnel",52.63684581,-1.014338272
"Eaton Chalk Pit",52.60957261,1.25969532
"Ickworth House Vaults",52.2200027,0.655608127
"Balsham Caves",52.13578211,0.298403909
"Old Warden Tunnel",52.08323584,-0.381518228
"Chadwell Spring Mine",51.80479891,-0.040943966
"Exmoor (Private roost)",51.12898317,-3.32662651
"Cocking Tunnel",50.94583809,-0.758706425
"Drovers Tunnel",50.9260747,-0.760655291
"Brayanston Old Kitchen",50.86229678,-2.18012972
"Rock Farm Cave",50.48209523,-3.77308145
"mass c",46.758938,-89.106646
"beatens cave",46.720387,-89.188296
"glen adit",46.692165,-89.231907
"taylor mine",46.663304,-88.448235
"geiger beer cave",45.31855,-92.707601
"horseshoe bay",45.01695,-87.32715
"potowatomi",44.87694,-87.43083
"crystal_wi",44.833055,-92.251915
"south portal",44.83181,-92.25112
"bay city mine",44.5941,-92.4258
"maiden rock",44.5626,-92.3027
"maribel",44.28879,-87.77423
"tunnel city",44.00857,-90.57844
"ledgeview",44.00189,-88.15023
"autograph",43.88574,-90.22245
"elroy sparta",43.86371,-90.67402
"dells culvert",43.62126,-89.77126
"neda mine",43.4252,-88.5348
"bear creek",43.36709,-90.11934
"boscobel bear",43.221,-90.743
"stampfli",43.10298,-89.83261
"stegen",42.916584,-90.183656
"pump station",42.884233,-90.162057
"johnston pottery",42.87161,-90.16832
"st. john",42.68641,-90.71564
"st john",42.68641,-90.71564
"strawberry blonde",42.53747,-90.37296
"blackball",41.34401,-89.04213
"zimmerman",41.33955,-89.04024
"hupmans",38.247,-79.52268
"breathing",38.20804,-79.63758
"starr chapel",38.1703,-79.75323
"crossroads",38.0534,-79.6918
"witheros",38.02233,-79.60233
"tawneys",37.31529,-80.51102
"stoneley",37.16847,-81.45264
"newberry",37.11586,-80.97808
"coon",37.115,-80.978
"kelly",36.90042,-82.70954
